,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
236,"#S206 -120 BAYVIEW AVE, Toronto, Ontario, M5A 0G4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,,,1.0,,,$384 Monthly,,"$624,999"
237,"#1105 -19 SINGER CRT, Toronto, Ontario, M2K 0B2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$608 Monthly,Community Centre,"$610,000"
238,"#328 -954 KING ST W, Toronto, Ontario, M6K 3L9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,Park,,"Underground, Visitor parking",,2.0,60.08,Balcony,$472 Monthly,,"$600,000"
239,"#UPH04 -60 TOWN CENTRE CRT, Toronto, Ontario, M1P 0B1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,490.7,Balcony,$706 Monthly,,"$600,000"
240,"2005-21  Grand Magazine  St, Toronto, ON, M5V 1B5",Apartment,,,,,,,1+1,1.0,,,Owned,1.0,1.0,,,$554 Monthly,,"$599,999"
241,"3501-101 Peter St, Toronto, ON, M5V 0G6",Apartment,,,,,,,1,1.0,,,None,,1.0,,,$377 Monthly,,"$599,900"
242,"#N220 -120 BAYVIEW AVE, Toronto, Ontario, M5A 3R7",Apartment,Apartment,,,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit",,Underground,,1.0,86.46000000000002,Balcony,$471 Monthly,,"$599,900"
243,"#35 -10 LEITH HILL RD, Toronto, Ontario, M2J 1Z2",Townhouse,Row / Townhouse,Finished,Brick,,Condominium/Strata,Single Family,3+1,2.0,,,Underground,,2.0,71.97999999999998,,$580 Monthly,Pets not Allowed,"$599,900"
244,"#2303 -30 NELSON ST, Toronto, Ontario, M5V 0H5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,666.0300000000002,Balcony,$372 Monthly,,"$599,888"
245,"#2606 -8 MERCER ST, Toronto, Ontario, M5V 0C4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,44.87,Balcony,$277 Monthly,Community Centre,"$599,000"
246,"#3106 -38 GRENVILLE ST, Toronto, Ontario, M4Y 1A5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Public Transit, Schools",,"Underground, Visitor parking",,1.0,49.78,Balcony,$331 Monthly,Community Centre,"$599,000"
247,"#516 -21 GRAND MAGAZINE ST, Toronto, Ontario, M5V 1B5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,48.72000000000001,Balcony,$523 Monthly,Community Centre,"$599,000"
248,"#2605 -70 DISTILLERY LANE, Toronto, Ontario, M5A 0E3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit",,Underground,,1.0,520.62,Balcony,$486 Monthly,,"$599,000"
249,"#55 -401 SEWELLS RD, Toronto, Ontario, M1B 5K6",Townhouse,Row / Townhouse,Finished,Brick,,Condominium/Strata,Single Family,3+2,4.0,"Hospital, Park, Public Transit",,"Attached garage, Visitor parking",,2.0,67.14,Cul-de-sac,$225 Monthly,,"$599,000"
250,"#2505 -110 CHARLES ST E, Toronto, Ontario, M4Y 1T5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,"Underground, Visitor parking",,1.0,,Balcony,$452 Monthly,,"$598,000"
251,"#206 -1530 WESTON RD, Toronto, Ontario, M6M 4Y4",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,3,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,2.0,728.1899999999998,Balcony,$488 Monthly,Community Centre,"$590,000"
252,"#222 -140 SIMCOE ST, Toronto, Ontario, M5H 4E9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Public Transit, Schools",,Underground,,1.0,33.46,Balcony,$380 Monthly,,"$589,900"
253,"#PH4 -15 MAITLAND PL, Toronto, Ontario, M4Y 2X3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,56.61,,$766 Monthly,Community Centre,"$589,000"
254,"#806 -25 THE ESPLANADE, Toronto, Ontario, M5E 1W5",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1+1,1.0,,,Underground,,1.0,,,$422 Monthly,,"$569,000"
255,"726-109 Front  St E, Toronto, ON, M5A 4P7",Apartment,,,,,,,1,1.0,,,None,,1.0,45.31,,$417 Monthly,,"$565,000"
256,"#915 -555 YONGE ST, Toronto, Ontario, M4Y 3A6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,,,1.0,54.71,,$611 Monthly,,"$559,000"
257,"#E24 -284 MILL RD, Toronto, Ontario, M9C 4W6",Detached,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Park, Public Transit, Schools, Ski area",,Underground,,1.0,96.5,Balcony,"$1,132 Monthly",,"$559,000"
258,"#615 -7 KING  ST E, Toronto, Ontario, M5C 3C5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,,,$458 Monthly,,"$558,800"
259,"#1010 -75 DALHOUSIE ST, Toronto, Ontario, M5B 2R9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$503 Monthly,Community Centre,"$557,000"
260,"#319 -33 MILL ST, Toronto, Ontario, M5A 3R3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,,,Underground,,1.0,34.800000000000004,Balcony,$438 Monthly,,"$549,900"
261,"##1801 -75 ST NICHOLAS ST, Toronto, Ontario, M4Y 0A5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,,1.0,"Public Transit, Schools",,Visitor parking,,1.0,26.6,Balcony,$339 Monthly,,"$548,000"
262,"#1107 -280 DONLANDS AVE, Toronto, Ontario, M4J 0A3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,29.660000000000004,,$451 Monthly,,"$539,999"
263,"#807 -830 LAWRENCE AVE W, Toronto, Ontario, M6A 1C3",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,59.89,Balcony,$421 Monthly,Community Centre,"$539,900"
264,"#608 -133 TORRESDALE AVE, Toronto, Ontario, M2R 3T2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,83.33,,$839 Monthly,Community Centre,"$539,900"
265,"#710 -70 FOREST MANOR RD, Toronto, Ontario, M2J 1M6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,530.02,Balcony,$443 Monthly,,"$539,000"
266,"#615 -35 HAYDEN ST, Toronto, Ontario, M4Y 3C3",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,,,"Underground, Visitor parking",,1.0,36.12,Balcony,$352 Monthly,,"$535,000"
267,"#608 -235 SHERWAY GARDENS RD, Toronto, Ontario, M9C 0A2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,,,,,1.0,39.74,Balcony,$468 Monthly,,"$529,900"
268,"#203 -955 O'CONNOR DR, Toronto, Ontario, M4B 2S7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,,,,,1.0,92.0,,$625 Monthly,,"$524,898"
269,"#201 -61 MARKBROOK LANE, Toronto, Ontario, M9V 5E7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,89.32,,$445 Monthly,,"$521,000"
270,"#510 -120 DALLIMORE CIRC, Toronto, Ontario, M3C 4J1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,52.57,Balcony,$502 Monthly,,"$519,000"
271,"#1806 -205 SHERWAY GARDENS RD, Toronto, Ontario, M9C 0A5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Public Transit",,"Underground, Visitor parking",,1.0,40.4,Balcony,$381 Monthly,,"$517,000"
272,"#719 -169 FORT YORK BLVD, Toronto, Ontario, M5V 0C8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,,Balcony,$347 Monthly,Community Centre,"$499,999"
273,"#435 -525 WILSON AVE, Toronto, Ontario, M3H 1V1",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit, Schools",,Underground,,1.0,61.41,Balcony,$441 Monthly,School Bus,"$499,900"
274,"#714 -2 REAN DR, Toronto, Ontario, M2K 3B8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,"Underground, Visitor parking",,1.0,36.91,Balcony,$499 Monthly,Pets not Allowed,"$499,900"
275,"#313E -555 WILSON AVE, Toronto, Ontario, M3H 5Y6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,,,Underground,,1.0,66.05,Balcony,$460 Monthly,,"$499,900"
276,"#1501 -15 MICHAEL POWER PL, Toronto, Ontario, M9A 5G4",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,53.09,Balcony,$452 Monthly,,"$499,900"
277,"#2717 -181 VILLAGE GREEN SQ, Toronto, Ontario, M1S 0K6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,61.13,Balcony,$480 Monthly,,"$499,900"
278,"#1512 -5039 FINCH AVE E, Toronto, Ontario, M1S 5J9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,Public Transit,,Underground,,1.0,60.99999999999999,,$512 Monthly,,"$499,000"
279,"#E607 -555 WILSON AVE, Toronto, Ontario, M3H 0C5",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,,Balcony,$301 Monthly,,"$499,000"
280,"#208 -8 FIELDWAY RD, Toronto, Ontario, M8Z 0C3",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,"Hospital, Park, Public Transit, Schools",,,,1.0,56.66,Balcony,$445 Monthly,,"$499,000"
281,"#1006 -7 MICHAEL POWER PL, Toronto, Ontario, M9A 0A4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,45.85000000000001,Balcony,$594 Monthly,,"$498,000"
282,"#2 -189 GALLOWAY RD, Toronto, Ontario, M1E 5H3",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2,1.0,,,Attached garage,,2.0,64.04,,$195 Monthly,,"$498,000"
283,"#520 -160 FLEMINGTON RD, Toronto, Ontario, M6A 0A9",Apartment,Apartment,,Stucco,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$374 Monthly,,"$489,900"
284,"#509 -39 KIMBERCROFT CRT, Toronto, Ontario, M1S 5B5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,Public Transit,,"Underground, Visitor parking",,1.0,101.67,,$598 Monthly,Pets not Allowed,"$489,900"
285,"##28 -11 LIVONIA PL, Toronto, Ontario, M1E 4W5",Townhouse,Row / Townhouse,Partially finished,Brick,,Condominium/Strata,Single Family,3+1,3.0,"Hospital, Park, Public Transit, Schools",,"Garage, Visitor parking",,2.0,,,$800 Monthly,,"$488,000"
286,"#1004 -50 LOMBARD ST, Toronto, Ontario, M5C 2X4",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,31.19,,$670 Monthly,,"$484,999"
287,"#1703 -8 LEE CENTRE DR, Toronto, Ontario, M1H 3H8",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,,$774 Monthly,School Bus,"$479,900"
288,"#1702 -225 SACKVILLE ST, Toronto, Ontario, M5A 0B9",Apartment,Apartment,,,,Condominium/Strata,Single Family,,1.0,,,,,1.0,46.22,Balcony,$310 Monthly,,"$475,000"
289,"#206 -170 SUDBURY ST, Toronto, Ontario, M6J 0A1",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1,1.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,34.75,Balcony,$387 Monthly,Community Centre,"$469,900"
290,"2531-125 Omni Dr, Toronto, ON, M1P 5A9",Apartment,,,,,,,2,2.0,,,Owned,1.0,1.0,70.57000000000002,,$892 Monthly,,"$458,800"
291,"#704 -225 SHERWAY GARDENS RD, Toronto, Ontario, M9C 0A3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,,,"Underground, Visitor parking",,1.0,51.75,Balcony,$524 Monthly,,"$449,900"
292,"#2506 -11 LEE CENTRE DR, Toronto, Ontario, M1H 3J5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,60.11,,$556 Monthly,,"$449,900"
293,"#320 -684 WARDEN AVE, Toronto, Ontario, M1L 4W4",Apartment,Apartment,,,,Condominium/Strata,Single Family,2+1,1.0,"Hospital, Park, Public Transit",,Attached garage,,1.0,69.0,"Ravine, Conservation/green belt, Balcony",$465 Monthly,,"$449,000"
294,"#1302 -5101 DUNDAS ST W, Toronto, Ontario, M9A 1C1",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1,1.0,,,"Underground, Visitor parking",,1.0,,Balcony,$478 Monthly,,"$449,000"
295,"#S319 -120 BAYVIEW AVE, Toronto, Ontario, M5A 0G4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,,1.0,,,,,,,Balcony,$280 Monthly,,"$439,000"
296,"1006-121 Ling Rd, Toronto, ON, M1E 4Y2",Apartment,,,,,,,2,2.0,,,Owned,1.0,1.0,64.17,,$541 Monthly,,"$429,000"
297,"#1009 -238 ALBION RD N, Toronto, Ontario, M9W 6A7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,,,"Underground, Visitor parking",,1.0,103.73999999999998,Balcony,$650 Monthly,School Bus,"$419,999"
298,"#902 -8 COLBORNE ST, Toronto, Ontario, M5E 1E1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,Public Transit,,Underground,,1.0,60.35,Balcony,$652 Monthly,,"$408,800"
299,"#2011 -2550 LAWRENCE AVE, Toronto, Ontario, M1P 4Z3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,Underground,,1.0,78.88,,$629 Monthly,,"$399,000"
300,"#914 -180 MARKHAM  RD, Toronto, Ontario, M1M 2Z9",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,64.19999999999999,,$724 Monthly,Community Centre,"$398,500"
301,"#2007 -5 GREYSTONE WALK DR, Toronto, Ontario, M1K 5J5",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1+1,1.0,,,"Underground, Visitor parking",,1.0,50.16,,$577 Monthly,,"$389,900"
302,"10 TAPSCOTT RD, Toronto, Ontario, M1B 3L9",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,55.48,Balcony,$566 Monthly,,"$380,000"
303,"#809 -390 DIXON RD, Toronto, Ontario, M9R 4B9",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,"Park, Public Transit, Schools",,Underground,,1.0,,Balcony,$649 Monthly,School Bus,"$359,900"
304,"809 390 DIXON Road, Toronto, Ontario, M9R 4B9",Apartment,Apartment,,Brick,,Condominium,Single Family,2,1.0,"Public Transit, Recreation, Schools",x,Underground,,1.0,,"Balcony, Year Round Living, No Driveway",$649 Monthly,Community Centre,"$359,900"
305,"#22 -7 BRIMLEY RD S, Toronto, Ontario, M1M 3W3",Detached,House,,,,Condominium/Strata,Single Family,1,1.0,"Marina, Park, Schools",,Visitor parking,,1.0,79.77,,$765 Monthly,,"$359,000"
306,"#1106 -50 LOTHERTON PTWY, Toronto, Ontario, M6B 2G7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,3,1.0,,,Underground,,1.0,92.19,,$710 Monthly,,"$334,900"
307,"#402 -500 WELLINGTON ST W, Toronto, Ontario, M5V 1E3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,3+1,4.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,135.61,,"$2,043 Monthly",,"$3,149,000"
308,"505-549 King St E, Toronto, ON, M5A 1M4",Apartment,,,,,,,3,2.0,,,Owned,1.0,1.0,,,"$1,233 Monthly",,"$1,499,000"
309,"#1001 -170 AVENUE RD, Toronto, Ontario, M5R 0A4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,"Underground, Visitor parking",,1.0,86.72999999999998,Balcony,$849 Monthly,,"$1,498,000"
310,"38 HOWARD PARK AVE, Toronto, Ontario, M6R 0A7",Townhouse,Row / Townhouse,Finished,Brick,,Condominium/Strata,Single Family,3,4.0,,,Underground,,3.0,,,"$1,313 Monthly",,"$1,495,000"
311,"#UPH01 -2200 LAKE SHORE BLVD W, Toronto, Ontario, M8V 1A4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Marina, Park, Public Transit",,"Underground, Visitor parking",,1.0,,Balcony,$795 Monthly,,"$1,288,000"
312,"#1031 -15 MERCHANTS' WHARF, Toronto, Ontario, M5A 0N8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit",,Underground,,1.0,,Balcony,$798 Monthly,Community Centre,"$1,260,000"
313,"#812 -889 BAY ST, Toronto, Ontario, M5S 3K5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+1,2.0,,,"Underground, Visitor parking",,1.0,72.07999999999998,,$887 Monthly,,"$1,199,995"
314,"#1030 -1 OLD MILL DR, Toronto, Ontario, M6S 0A1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,72.58999999999997,"Conservation/green belt, Balcony",$770 Monthly,,"$1,180,000"
315,"#1405 -215 QUEEN ST, Toronto, Ontario, M5V 1Z5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,3,2.0,,,Underground,,1.0,,Balcony,$795 Monthly,,"$999,999"
316,"#2503 -110 CHARLES ST E, Toronto, Ontario, M4Y 1T5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,138.24,Balcony,$680 Monthly,,"$989,000"
317,"#1408 -2191 YONGE ST, Toronto, Ontario, M4S 3H8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,82.7,Balcony,$745 Monthly,Pets not Allowed,"$975,000"
318,"#1005 -45 CARLTON ST, Toronto, Ontario, M5B 2H9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Public Transit, Schools",,"Underground, Visitor parking",,1.0,121.85,,$946 Monthly,,"$949,900"
319,"#1307 -628 FLEET ST, Toronto, Ontario, M5V 1A8",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,56.42,,$685 Monthly,,"$929,000"
320,"#1910 -300 FRONT ST W, Toronto, Ontario, M5V 0E9",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,85.22,Balcony,$510 Monthly,,"$924,900"
321,"#2 -1396 BLOOR ST W, Toronto, Ontario, M6P 4H6",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Park, Public Transit, Schools",,"Garage, Visitor parking",,3.0,72.98,,$452 Monthly,Community Centre,"$899,900"
322,"#1104 -30 GREENFIELD AVE, Toronto, Ontario, M2N 6N3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,,,"Underground, Visitor parking",,1.0,81.07,,"$1,150 Monthly",Pets not Allowed,"$899,000"
323,"206-194 Merton STREET, Toronto, ON, M4S 1A1",Apartment,,,"Brick, Stucco",,,,2,2.0,"Park, Public Transit, Schools",,,1.0,1.0,91.72,Conservation/green belt,$681 Monthly,,"$899,000"
324,"#608 -1200 DON MILLS RD, Toronto, Ontario, M3B 3N8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,77.55,Balcony,$885 Monthly,Pets not Allowed,"$888,000"
325,"#510 -381 FRONT ST W, Toronto, Ontario, M5V 3R8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,73.62,Balcony,$806 Monthly,,"$870,000"
326,"#303 -70 MILL ST, Toronto, Ontario, M5A 4R1",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,660.93,,$730 Monthly,,"$859,900"
327,"#1011 -501 ST CLAIR AVE W, Toronto, Ontario, M5P 0A2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,Underground,,1.0,45.17,Balcony,$799 Monthly,,"$849,000"
328,"#214 -510 KING ST E, Toronto, Ontario, M5A 0E5",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Public Transit",,Underground,,1.0,107.15,Balcony,$599 Monthly,,"$849,000"
329,"#404 -435 RICHMOND ST W, Toronto, Ontario, M5V 1X9",Apartment,Apartment,,,,Condominium/Strata,Single Family,2,2.0,,,Visitor parking,,1.0,54.48,Balcony,$517 Monthly,,"$839,900"
330,"#1804 -1815 YONGE ST, Toronto, Ontario, M4T 2A4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,2.0,,,"Underground, Visitor parking",,5.0,67.87,Balcony,$697 Monthly,,"$839,000"
331,"#403 -1238 DUNDAS ST E, Toronto, Ontario, M4M 1S3",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,73.57000000000002,Balcony,$589 Monthly,,"$829,900"
332,"#420 -98 LILLIAN ST, Toronto, Ontario, M4S 0A5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,Underground,,1.0,95.46999999999998,Balcony,$655 Monthly,,"$809,000"
333,"#201 -55 LOMBARD ST, Toronto, Ontario, M5C 2R7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,69.81,,$959 Monthly,,"$800,000"
334,"#1909 -170 SUMACH ST, Toronto, Ontario, M5A 0C3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,Underground,,1.0,,Balcony,$692 Monthly,,"$799,000"
335,"#LPH3604 -33 SHORE BREEZE DR, Toronto, Ontario, M8V 0G1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,1.0,"Marina, Park, Public Transit",,Underground,,1.0,69.93,Balcony,$627 Monthly,,"$799,000"
336,"#702 -28 TED ROGERS WAY, Toronto, Ontario, M4Y 2W7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,1.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$635 Monthly,"Community Centre, Pets not Allowed","$778,000"
337,"#406 -21 SCOLLARD ST, Toronto, Ontario, M5R 1G1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,47.06,Balcony,$603 Monthly,Community Centre,"$774,900"
338,"#2607 -10 YORK ST, Toronto, Ontario, M5J 2Z2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,,,,,1.0,353.44000000000005,,$320 Monthly,,"$769,000"
339,"#5306 -1080 BAY ST, Toronto, Ontario, M5S 0A5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit",,Underground,,1.0,74.09,Balcony,$379 Monthly,Community Centre,"$769,000"
340,"S418-455 Front St E, Toronto, ON, M5A 1G9",Apartment,,,,,,,2,2.0,,,Owned,1.0,1.0,,,$653 Monthly,,"$762,000"
341,"#1902 -438 KING ST, Toronto, Ontario, M5V 3T9",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1+1,2.0,,,"Underground, Visitor parking",,1.0,,Balcony,$564 Monthly,,"$759,000"
342,"#2002 -70 FOREST MANOR RD, Toronto, Ontario, M2J 1G2",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,3,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,73.61000000000001,Balcony,$682 Monthly,Community Centre,"$759,000"
343,"#1211 -150 EAST LIBERTY ST, Toronto, Ontario, M6K 3R5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,2.0,,,Underground,,1.0,64.11,Balcony,$576 Monthly,,"$754,900"
344,"#1506 -27 BATHURST ST, Toronto, Ontario, M5V 2P1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,,,1.0,85.86999999999998,Balcony,$424 Monthly,,"$749,900"
345,"#1604 -125 PETER ST, Toronto, Ontario, M5V 2G9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,Underground,,3.0,45.41,Balcony,$439 Monthly,Pets not Allowed,"$745,000"
346,"#1012 -85 EAST LIBERTY ST, Toronto, Ontario, M6K 0A2",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,2.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,64.47,Balcony,$442 Monthly,,"$729,900"
347,"#73 -1075 ELLESMERE RD, Toronto, Ontario, M1P 2W9",Townhouse,Row / Townhouse,Unfinished,Brick,,Condominium/Strata,Single Family,3,3.0,"Hospital, Park, Public Transit, Schools",,"Garage, Visitor parking",,2.0,98.38,,$115 Monthly,Community Centre,"$729,000"
348,"#1206 -101 PETER ST, Toronto, Ontario, M5V 2G9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,1.0,,,Underground,,1.0,,,$571 Monthly,Pets not Allowed,"$729,000"
349,"#PH15 -19 GRAND TRUNK CRES, Toronto, Ontario, M5J 3A3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,,,Underground,,1.0,60.2,Balcony,$377 Monthly,,"$729,000"
