,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
645,"#820 -2885 BAYVIEW AVE, Toronto, Ontario, M2K 0A3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,,1.0,,,Underground,,1.0,,Balcony,$391 Monthly,,"$490,000"
646,"#66 -79 DRIFTWOOD AVE, Toronto, Ontario, M3N 2M7",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,4,2.0,,,,,2.0,97.70000000000002,,$431 Monthly,,"$469,900"
647,"#805 -5 GREYSTONE WALK DR, Toronto, Ontario, M1K 5J5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,66.23,Balcony,$905 Monthly,,"$469,900"
648,"#314 -1 LEASIDE PARK DR, Toronto, Ontario, M4H 1R1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,"Underground, Visitor parking",,1.0,74.66000000000003,Balcony,$550 Monthly,,"$469,000"
649,"#203 -25 SILVER SPRINGS BLVD, Toronto, Ontario, M1V 1M9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,1019.26,Balcony,$630 Monthly,"Community Centre, School Bus","$459,999"
650,"#1807 -410 MCLEVIN  AVE, Toronto, Ontario, M1B 5J5",Apartment,Apartment,,,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,,,$569 Monthly,,"$459,000"
651,"#505 -127 QUEEN ST E, Toronto, Ontario, M5C 1S3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,87.51,Balcony,$382 Monthly,,"$455,000"
652,"#2608 -115 MCMAHON DR, Toronto, Ontario, M2K 0E3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Park, Public Transit, Schools",,Visitor parking,,1.0,32.67,Balcony,$286 Monthly,Community Centre,"$449,800"
653,"#408 -101 PRUDENTIAL DR, Toronto, Ontario, M1P 4S5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,"Hospital, Park, Public Transit",,,,1.0,69.38,Balcony,$658 Monthly,,"$445,000"
654,"#309 -1950 KENNEDY RD, Toronto, Ontario, M1P 4S9",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,3,1.0,Public Transit,,Visitor parking,,1.0,,Balcony,$610 Monthly,,"$439,800"
655,"#318 -121 MCMAHON DR, Toronto, Ontario, M2K 0C1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,,1.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,,Balcony,$307 Monthly,,"$429,000"
656,"#505 -6 HUMBERLINE DR, Toronto, Ontario, M9W 6X8",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,31.24,,$375 Monthly,,"$419,000"
657,"#704 -20 FOREST MANOR RD, Toronto, Ontario, M2J 1M2",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,,,1.0,56.28,Balcony,$499 Monthly,,"$400,000"
658,"#1112 -1950 KENNEDY RD, Toronto, Ontario, M1P 4S9",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,59.87,Balcony,$565 Monthly,,"$400,000"
659,"#1208 -10 SUNNY GLENWAY GL, Toronto, Ontario, M3C 2Z3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,,$596 Monthly,,"$399,900"
